system:index,Biome_Type,Bulk_Density,Carbon_Content,Clay_Content,Human_Footprint,Max_DEF,Max_VPD,Pre_NDVI,Ref_ID,Sand_Content,TWI,aspect,dNBR,def,elevation,esa_lc_2021,event_start,gfc_lossyear,pdsi,pr,slope,soil,tmmx,vpd,.geo,Prob_Arc_1,Prob_Arc_2,Prob_Arc_3,Predicted_Dominant_Archetype
00000000000000000015,12.0,115.0,8.0,18.0,0.0528706274926662,2132.0,175.0,0.5267185615741495,23,66.0,19.579936863460823,23.80553156206327,-0.0525253520545352,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333331,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91636077530494,-33.36594154767839]}",0.17710438,0.7943881,0.16407327,Archetype_2
00000000000000000017,12.0,115.0,8.0,18.0,0.0528706274926662,2132.0,175.0,0.5267185615741495,25,66.0,19.579936863460823,23.80553156206327,-0.0525253520545352,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333331,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91689140833032,-33.36830487123672]}",0.17710438,0.7943881,0.16407327,Archetype_2
00000000000000000018,12.0,115.0,8.0,18.0,0.0528706274926662,2132.0,175.0,0.5267185615741495,26,66.0,19.579936863460823,23.80553156206327,-0.0525253520545352,634.8125,219.0,10,2010,,-352.1875,69.125,1.4041699171066284,1414.9583333333333,234.52083333333331,89.85416666666667,"{""type"":""Point"",""coordinates"":[115.91705193596819,-33.366944845415404]}",0.17710438,0.7943881,0.16407327,Archetype_2
0000000000000000001a,12.0,115.0,8.0,14.0,0.0506558492779731,2040.0,167.0,0.592378845750093,28,74.0,16.13192397284835,311.8207242087009,-0.0349195932914116,599.0,204.0,10,2010,,-346.21875,69.57291666666667,0.217335507273674,1496.2291666666667,230.92708333333331,85.77083333333333,"{""type"":""Point"",""coordinates"":[115.93418826131659,-33.35934653722034]}",0.1371346,0.67188025,0.17843121,Archetype_2
0000000000000000001b,12.0,113.0,8.0,16.0,0.0594772472977638,2087.0,172.0,0.5404332908450039,29,71.0,14.061284354589883,258.5857767392557,-0.0379500685703508,613.5729166666666,226.0,10,2010,,-351.2083333333333,68.95833333333333,1.7569422721862793,1460.9479166666667,231.65625,87.85416666666667,"{""type"":""Point"",""coordinates"":[115.93466984423038,-33.34103300919384]}",0.16432269,0.61535746,0.1913166,Archetype_2
00000000000000000024,12.0,119.0,7.0,18.0,0.080564796924591,2109.0,180.0,0.5070965092958671,38,68.0,15.10989775139082,302.3434543073044,-0.0496045646926345,620.84375,261.0,10,2010,,-344.1458333333333,70.44791666666667,0.4514619410037994,1496.7916666666667,234.9375,91.1875,"{""type"":""Point"",""coordinates"":[115.93507562242624,-33.305872997387425]}",0.15452985,0.6224397,0.14655277,Archetype_2
0000000000000000003b,12.0,120.0,7.0,18.0,0.0522605516016483,2215.0,186.0,0.484615471900173,61,67.0,22.635919273401896,239.51632868604327,-0.022986469061306,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.2666273117065429,1212.5,230.30208333333331,92.02083333333331,"{""type"":""Point"",""coordinates"":[116.00844567115962,-32.75638243367234]}",0.22163095,0.63544554,0.0744155,Archetype_2
0000000000000000003d,12.0,120.0,7.0,18.0,0.0522605516016483,2215.0,186.0,0.484615471900173,63,67.0,22.635919273401896,239.51632868604327,-0.022986469061306,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.2666273117065429,1212.5,230.30208333333331,92.02083333333331,"{""type"":""Point"",""coordinates"":[116.00777234690057,-32.75416180134773]}",0.22163095,0.63544554,0.0744155,Archetype_2
0000000000000000003e,12.0,120.0,7.0,18.0,0.0522605516016483,2215.0,186.0,0.484615471900173,64,67.0,22.635919273401896,239.51632868604327,-0.022986469061306,638.6041666666666,222.0,10,2010,,-216.59375,83.33333333333333,0.2666273117065429,1212.5,230.30208333333331,92.02083333333331,"{""type"":""Point"",""coordinates"":[116.01277545828253,-32.75211507396419]}",0.22163095,0.63544554,0.0744155,Archetype_2
00000000000000000048,12.0,119.0,7.0,18.0,0.2049349695444107,2318.0,184.0,0.5084108176069978,74,69.0,18.60430007375502,270.0,-0.0466314707970256,697.1979166666666,274.0,10,2010,,-197.23958333333331,87.45833333333333,1.0549498796463013,765.2708333333334,230.25,92.69791666666669,"{""type"":""Point"",""coordinates"":[115.99705266796806,-32.623122198690105]}",0.06434853,0.7214396,0.26328316,Archetype_2
